metric,value
holding_days_mismatch,"[{""trade_id"": ""H_2f0c1b6f977093de"", ""recorded"": 0, ""computed"": 0.0668}, {""trade_id"": ""H_5e968f2efa9b9d94"", ""recorded"": 13, ""computed"": 13.9931}, {""trade_id"": ""H_511c24d7c50cb621"", ""recorded"": 13, ""computed"": 13.8759}, {""trade_id"": ""H_16e4d2e53e072850"", ""recorded"": 12, ""computed"": 12.0214}, {""trade_id"": ""H_136b7964415eb871"", ""recorded"": 3, ""computed"": 3.9784}, {""trade_id"": ""H_95c05a89ac71297c"", ""recorded"": 5, ""computed"": 5.9003}, {""trade_id"": ""H_ce4c5afdaa77d3fe"", ""recorded"": 13, ""computed"": 13.9998}, {""trade_id"": ""H_cae102297ca34eae"", ""recorded"": 0, ""computed"": 0.0668}, {""trade_id"": ""H_36ae3d72a0983aef"", ""recorded"": 0, ""computed"": 0.9173}, {""trade_id"": ""H_7b8ce5666e7136cd"", ""recorded"": 7, ""computed"": 7.9998}, {""trade_id"": ""H_7729ee03528d45de"", ""recorded"": 7, ""computed"": 7.899}, {""trade_id"": ""H_05736f6d6dc15375"", ""recorded"": 0, ""computed"": 0.0667}, {""trade_id"": ""H_81ca2ada32656389"", ""recorded"": 7, ""computed"": 7.1463}, {""trade_id"": ""H_bd115655aa9a97aa"", ""recorded"": 1, ""computed"": 1.1247}, {""trade_id"": ""H_e93b7e176cbd4dce"", ""recorded"": 3, ""computed"": 3.9809}, {""trade_id"": ""H_0575528959610b76"", ""recorded"": 12, ""computed"": 12.8364}, {""trade_id"": ""H_7c5c347d92c0bd90"", ""recorded"": 3, ""computed"": 3.9817}, {""trade_id"": ""H_a9bea7d35ded8ec3"", ""recorded"": 15, ""computed"": 15.7371}, {""trade_id"": ""H_49fa93d16005a453"", ""recorded"": 5, ""computed"": 5.8993}, {""trade_id"": ""H_5ab2d18c6526b7f8"", ""recorded"": 0, ""computed"": 0.0782}, {""trade_id"": ""H_02abe660f076c3d5"", ""recorded"": 0, ""computed"": 0.917}, {""trade_id"": ""H_e83f74a637a2f75f"", ""recorded"": 3, ""computed"": 3.9798}, {""trade_id"": ""H_f2ad26f5d32a5fa8"", ""recorded"": 15, ""computed"": 15.8365}, {""trade_id"": ""H_d74c8fce6dcf5307"", ""recorded"": 19, ""computed"": 19.9917}, {""trade_id"": ""H_7cd6366640e5c93d"", ""recorded"": 19, ""computed"": 19.9943}, {""trade_id"": ""H_0dbd2a5c663537ec"", ""recorded"": 7, ""computed"": 7.2624}, {""trade_id"": ""H_a145e54e1a6ff14c"", ""recorded"": 19, ""computed"": 19.9995}, {""trade_id"": ""H_18ab37dd7e05c9f3"", ""recorded"": 3, ""computed"": 3.9787}, {""trade_id"": ""H_991c66d59d89c4fb"", ""recorded"": 12, ""computed"": 12.7376}, {""trade_id"": ""H_2749f17efead5005"", ""recorded"": 1, ""computed"": 1.1}, {""trade_id"": ""H_9cc31eea08cc5bb9"", ""recorded"": 0, ""computed"": 0.9999}, {""trade_id"": ""H_3589c045d3acf05c"", ""recorded"": 0, ""computed"": 0.8367}, {""trade_id"": ""H_175f2e4605e4bd74"", ""recorded"": 0, ""computed"": 0.737}, {""trade_id"": ""H_235dbd2e02c39de3"", ""recorded"": 3, ""computed"": 3.9009}, {""trade_id"": ""H_eed378480da8942f"", ""recorded"": 4, ""computed"": 4.9815}, {""trade_id"": ""H_fba4695c86428649"", ""recorded"": 13, ""computed"": 13.9998}, {""trade_id"": ""H_a2a3f7e6b15f70f4"", ""recorded"": 14, ""computed"": 14.1462}, {""trade_id"": ""H_6c2ca1e0230f3ebc"", ""recorded"": 4, ""computed"": 4.9811}, {""trade_id"": ""H_037ec48dfcfc452b"", ""recorded"": 6, ""computed"": 6.9961}, {""trade_id"": ""H_a7b67202302b1239"", ""recorded"": 1, ""computed"": 1.1008}, {""trade_id"": ""H_1e8299a4192a755b"", ""recorded"": 18, ""computed"": 18.9989}, {""trade_id"": ""H_5eaa2ef92ca33fe0"", ""recorded"": 17, ""computed"": 17.978}, {""trade_id"": ""H_f842cd37deb5d6cb"", ""recorded"": 13, ""computed"": 13.0225}, {""trade_id"": ""H_fe2e3a5dcf7ef963"", ""recorded"": 3, ""computed"": 3.9794}, {""trade_id"": ""H_c1cd3b15d7595337"", ""recorded"": 20, ""computed"": 20.7359}, {""trade_id"": ""H_06a159d4c41e2db5"", ""recorded"": 11, ""computed"": 11.8999}, {""trade_id"": ""H_758901e2fb7ad631"", ""recorded"": 1, ""computed"": 1.1008}, {""trade_id"": ""H_339f3ae115183897"", ""recorded"": 0, ""computed"": 0.078}, {""trade_id"": ""H_8419b8ac1dc234f5"", ""recorded"": 13, ""computed"": 13.0224}, {""trade_id"": ""H_128c63b95c44438f"", ""recorded"": 11, ""computed"": 11.9957}, {""trade_id"": ""H_becf1a8597af902e"", ""recorded"": 3, ""computed"": 3.9828}, {""trade_id"": ""H_508c26f79170d4c4"", ""recorded"": 15, ""computed"": 15.7362}, {""trade_id"": ""H_fde546c8a7ec9759"", ""recorded"": 11, ""computed"": 11.8998}, {""trade_id"": ""H_3f1c108bba95fbf5"", ""recorded"": 1, ""computed"": 1.1005}, {""trade_id"": ""H_4bde72319832c80a"", ""recorded"": 14, ""computed"": 14.1444}, {""trade_id"": ""H_e6f6feb86cc3619f"", ""recorded"": 13, ""computed"": 13.1454}, {""trade_id"": ""H_e010eb8d83db2b7c"", ""recorded"": 7, ""computed"": 7.9978}, {""trade_id"": ""H_a8821d93956c467b"", ""recorded"": 3, ""computed"": 3.9819}, {""trade_id"": ""H_a783360120fb1271"", ""recorded"": 20, ""computed"": 20.1154}, {""trade_id"": ""H_49c76fa6664cd3e4"", ""recorded"": 18, ""computed"": 18.2625}, {""trade_id"": ""H_73a1cbe1a8799bbf"", ""recorded"": 8, ""computed"": 8.022}, {""trade_id"": ""H_6f092e1389cdd2cb"", ""recorded"": 4, ""computed"": 4.9812}, {""trade_id"": ""H_3a091ac8756da46d"", ""recorded"": 9, ""computed"": 9.0999}, {""trade_id"": ""H_4d5ac8bbebf39a51"", ""recorded"": 6, ""computed"": 6.8989}, {""trade_id"": ""H_0865cdcf76bb39c1"", ""recorded"": 7, ""computed"": 7.2627}, {""trade_id"": ""H_fd954e64afceaa72"", ""recorded"": 16, ""computed"": 16.9926}, {""trade_id"": ""H_404241b65ae34322"", ""recorded"": 4, ""computed"": 4.9999}, {""trade_id"": ""H_3410016d0ec3f382"", ""recorded"": 4, ""computed"": 4.8991}, {""trade_id"": ""H_4cdc13ed0448ed50"", ""recorded"": 0, ""computed"": 0.0295}, {""trade_id"": ""H_9174eedd4b89dd4c"", ""recorded"": 0, ""computed"": 0.8399}, {""trade_id"": ""H_839197fcb5cdb683"", ""recorded"": 20, ""computed"": 20.1152}, {""trade_id"": ""H_5c35d29155e4d8bd"", ""recorded"": 0, ""computed"": 0.078}, {""trade_id"": ""H_d43003147150793b"", ""recorded"": 13, ""computed"": 13.0233}, {""trade_id"": ""H_4c5b824df4d4e800"", ""recorded"": 5, ""computed"": 5.8758}, {""trade_id"": ""H_e973cc545d4a2232"", ""recorded"": 15, ""computed"": 15.7373}, {""trade_id"": ""H_d21393390d7ecb6a"", ""recorded"": 5, ""computed"": 5.0816}, {""trade_id"": ""H_619f9d07f4f1560b"", ""recorded"": 12, ""computed"": 12.9996}, {""trade_id"": ""H_3f5b205270084f38"", ""recorded"": 3, ""computed"": 3.263}, {""trade_id"": ""H_d87dae26475adace"", ""recorded"": 3, ""computed"": 3.9833}, {""trade_id"": ""H_b799167c89d8b505"", ""recorded"": 12, ""computed"": 12.7395}, {""trade_id"": ""H_cccfafcfe2931c42"", ""recorded"": 11, ""computed"": 11.9}, {""trade_id"": ""H_139b075639db4279"", ""recorded"": 0, ""computed"": 0.0781}, {""trade_id"": ""H_f0f00aa8b6af3b32"", ""recorded"": 1, ""computed"": 1.999}, {""trade_id"": ""H_57ae4697a549e40a"", ""recorded"": 1, ""computed"": 1.9003}, {""trade_id"": ""H_1d2537f39de09e2f"", ""recorded"": 5, ""computed"": 5.8997}, {""trade_id"": ""H_fe0e1c2b04df6936"", ""recorded"": 5, ""computed"": 5.8999}, {""trade_id"": ""H_26642c665bce0b3e"", ""recorded"": 3, ""computed"": 3.9827}, {""trade_id"": ""H_edaf063d08b7cfba"", ""recorded"": 2, ""computed"": 2.9997}, {""trade_id"": ""H_94f7901ce72b4946"", ""recorded"": 0, ""computed"": 0.0991}, {""trade_id"": ""H_e424593dde67983c"", ""recorded"": 0, ""computed"": 0.1632}, {""trade_id"": ""H_dd12396fd7620174"", ""recorded"": 0, ""computed"": 0.8989}, {""trade_id"": ""H_07712225bbb7cf4b"", ""recorded"": 3, ""computed"": 3.9812}, {""trade_id"": ""H_d623d063f330ec7d"", ""recorded"": 15, ""computed"": 15.7366}, {""trade_id"": ""H_d07d03c5caacd528"", ""recorded"": 1, ""computed"": 1.9985}, {""trade_id"": ""H_42b5d8f145e38cb4"", ""recorded"": 0, ""computed"": 0.1628}, {""trade_id"": ""H_8b169628399eb938"", ""recorded"": 1, ""computed"": 1.9988}, {""trade_id"": ""H_58e3e82040467e38"", ""recorded"": 4, ""computed"": 4.9027}, {""trade_id"": ""H_58e99a0482456885"", ""recorded"": 7, ""computed"": 7.0245}, {""trade_id"": ""H_0914bde51c12bc61"", ""recorded"": 3, ""computed"": 3.9829}, {""trade_id"": ""H_6ca4eb02ff9fd722"", ""recorded"": 3, ""computed"": 3.9002}, {""trade_id"": ""H_91ad06e1ee273151"", ""recorded"": 7, ""computed"": 7.8991}, {""trade_id"": ""H_e1239218ff20217e"", ""recorded"": 7, ""computed"": 7.7362}, {""trade_id"": ""H_e101a1aaf6535977"", ""recorded"": 6, ""computed"": 6.9999}, {""trade_id"": ""H_bf94b3a1cffcaea1"", ""recorded"": 7, ""computed"": 7.0234}, {""trade_id"": ""H_058a0f2f9327cf30"", ""recorded"": 3, ""computed"": 3.9837}, {""trade_id"": ""H_81929632fa712993"", ""recorded"": 12, ""computed"": 12.8363}, {""trade_id"": ""H_6f10c407750cb545"", ""recorded"": 8, ""computed"": 8.9997}, {""trade_id"": ""H_f4b777d0eb59e601"", ""recorded"": 7, ""computed"": 7.8746}, {""trade_id"": ""H_d22b42848172a66e"", ""recorded"": 3, ""computed"": 3.9826}, {""trade_id"": ""H_8d0293868d69c0ca"", ""recorded"": 15, ""computed"": 15.7367}, {""trade_id"": ""H_595a7bb0a95d4ae5"", ""recorded"": 0, ""computed"": 0.1629}, {""trade_id"": ""H_40830bbe1329c87b"", ""recorded"": 2, ""computed"": 2.9991}, {""trade_id"": ""H_b77fe72cdd659a2d"", ""recorded"": 2, ""computed"": 2.1436}, {""trade_id"": ""H_4775b35919bd355b"", ""recorded"": 3, ""computed"": 3.9825}, {""trade_id"": ""H_b3820dcd721cc102"", ""recorded"": 15, ""computed"": 15.7371}, {""trade_id"": ""H_1e5ba86926a45689"", ""recorded"": 1, ""computed"": 1.9006}, {""trade_id"": ""H_6f4f748ae445e661"", ""recorded"": 6, ""computed"": 6.8996}, {""trade_id"": ""H_55372325622d161a"", ""recorded"": 0, ""computed"": 0.8992}, {""trade_id"": ""H_691145dd7fb33431"", ""recorded"": 12, ""computed"": 12.0216}, {""trade_id"": ""H_d76b6daf5f0e817a"", ""recorded"": 3, ""computed"": 3.9791}, {""trade_id"": ""H_37ac213101b23a45"", ""recorded"": 8, ""computed"": 8.736}, {""trade_id"": ""H_a363e317f7adce85"", ""recorded"": 14, ""computed"": 14.1457}, {""trade_id"": ""H_6c4ca33e733e1c41"", ""recorded"": 14, ""computed"": 14.1439}, {""trade_id"": ""H_c2d0478acf65b160"", ""recorded"": 3, ""computed"": 3.9807}, {""trade_id"": ""H_52a4b39590215eb2"", ""recorded"": 1, ""computed"": 1.7366}, {""trade_id"": ""H_dff748f6085929ab"", ""recorded"": 14, ""computed"": 14.1464}, {""trade_id"": ""H_a8749500e1557661"", ""recorded"": 14, ""computed"": 14.125}, {""trade_id"": ""H_567a45719b7d263d"", ""recorded"": 4, ""computed"": 4.9812}, {""trade_id"": ""H_ee1ed12713e079a6"", ""recorded"": 12, ""computed"": 12.163}, {""trade_id"": ""H_06ab551f9019b6f0"", ""recorded"": 12, ""computed"": 12.2634}, {""trade_id"": ""H_24e3a80008904aae"", ""recorded"": 3, ""computed"": 3.9786}, {""trade_id"": ""H_69e1e777cf0a4c9a"", ""recorded"": 7, ""computed"": 7.899}, {""trade_id"": ""H_47893fba09922020"", ""recorded"": 12, ""computed"": 12.1628}, {""trade_id"": ""H_bfa901d6e5dcc6f0"", ""recorded"": 3, ""computed"": 3.9817}, {""trade_id"": ""H_8db1a9f870feacd3"", ""recorded"": 7, ""computed"": 7.9998}, {""trade_id"": ""H_eeaee22086f92fcf"", ""recorded"": 0, ""computed"": 0.0297}, {""trade_id"": ""H_fe24641d23655df1"", ""recorded"": 0, ""computed"": 0.1197}, {""trade_id"": ""H_fc33a633190ea522"", ""recorded"": 20, ""computed"": 20.1155}, {""trade_id"": ""H_21746d6a894d1a83"", ""recorded"": 7, ""computed"": 7.0259}, {""trade_id"": ""H_ab462bcae59dd06c"", ""recorded"": 5, ""computed"": 5.8759}, {""trade_id"": ""H_fb390033c6f6dd39"", ""recorded"": 5, ""computed"": 5.0234}, {""trade_id"": ""H_a82dbda613f89106"", ""recorded"": 3, ""computed"": 3.9835}, {""trade_id"": ""H_344338d21504b25d"", ""recorded"": 20, ""computed"": 20.1156}, {""trade_id"": ""H_6d1c797b912c275c"", ""recorded"": 20, ""computed"": 20.0999}, {""trade_id"": ""H_9f687af23710f5a5"", ""recorded"": 4, ""computed"": 4.9812}, {""trade_id"": ""H_da26ca0f15990bd6"", ""recorded"": 12, ""computed"": 12.7377}, {""trade_id"": ""H_a6dbc10ce49609f3"", ""recorded"": 6, ""computed"": 6.9995}, {""trade_id"": ""H_1f2fcc9effaa8599"", ""recorded"": 4, ""computed"": 4.7374}, {""trade_id"": ""H_83f609c819dd6850"", ""recorded"": 0, ""computed"": 0.0411}, {""trade_id"": ""H_e315d2c8276d4983"", ""recorded"": 0, ""computed"": 0.839}, {""trade_id"": ""H_bafe9d8528906619"", ""recorded"": 19, ""computed"": 19.1162}, {""trade_id"": ""H_4c8c7621922518aa"", ""recorded"": 23, ""computed"": 23.9701}, {""trade_id"": ""H_af9a368091220c9e"", ""recorded"": 12, ""computed"": 12.2636}, {""trade_id"": ""H_d71dae848043f799"", ""recorded"": 9, ""computed"": 9.1443}, {""trade_id"": ""H_c038ca53718d8904"", ""recorded"": 8, ""computed"": 8.1448}, {""trade_id"": ""H_8a5cb413a814f34f"", ""recorded"": 1, ""computed"": 1.9995}, {""trade_id"": ""H_3506bb96cbee3345"", ""recorded"": 3, ""computed"": 3.9789}, {""trade_id"": ""H_00b0af8a39a6f384"", ""recorded"": 0, ""computed"": 0.7358}, {""trade_id"": ""H_792ee991172cc093"", ""recorded"": 0, ""computed"": 0.0411}, {""trade_id"": ""H_ddf25d572b690303"", ""recorded"": 19, ""computed"": 19.9917}, {""trade_id"": ""H_03128cf0fafbdba3"", ""recorded"": 19, ""computed"": 19.9944}, {""trade_id"": ""H_5462d0c80c5c4cb6"", ""recorded"": 11, ""computed"": 11.9992}, {""trade_id"": ""H_5099926491cb8fd7"", ""recorded"": 19, ""computed"": 19.9916}, {""trade_id"": ""H_81b666d2383d2b02"", ""recorded"": 19, ""computed"": 19.9944}, {""trade_id"": ""H_3c160a858b1a1201"", ""recorded"": 11, ""computed"": 11.9994}, {""trade_id"": ""H_266341e01af06d44"", ""recorded"": 13, ""computed"": 13.0203}, {""trade_id"": ""H_940eaa8897e534bd"", ""recorded"": 5, ""computed"": 5.0819}, {""trade_id"": ""H_e8e8f0952c0df72e"", ""recorded"": 0, ""computed"": 0.736}, {""trade_id"": ""H_5c075fac66f7b4a3"", ""recorded"": 15, ""computed"": 15.8995}, {""trade_id"": ""H_a4e2f00d9177d0cc"", ""recorded"": 0, ""computed"": 0.8383}, {""trade_id"": ""H_db294c2117d5c781"", ""recorded"": 19, ""computed"": 19.9998}, {""trade_id"": ""H_ca71cf0f9ec08d3d"", ""recorded"": 11, ""computed"": 11.9959}, {""trade_id"": ""H_1fb1f818e77a50b5"", ""recorded"": 12, ""computed"": 12.0214}, {""trade_id"": ""H_2599bb074e2c9a3f"", ""recorded"": 5, ""computed"": 5.998}, {""trade_id"": ""H_dd5299277561a01e"", ""recorded"": 4, ""computed"": 4.9024}, {""trade_id"": ""H_e0c8207f73b12c7e"", ""recorded"": 3, ""computed"": 3.9775}, {""trade_id"": ""H_d0194bfe16a91b2f"", ""recorded"": 6, ""computed"": 6.0998}]"
invalid_quantity_or_price_count,0
invalid_quantity_or_price_ids,[]
pnl_arithmetic_mismatch_count,17
pnl_arithmetic_mismatch,"[{""trade_id"": ""H_d74c8fce6dcf5307"", ""recorded"": 3075.41, ""computed_no_fee"": 3074.14}, {""trade_id"": ""H_eed378480da8942f"", ""recorded"": -3795.07, ""computed_no_fee"": -3796.2}, {""trade_id"": ""H_49c76fa6664cd3e4"", ""recorded"": -2648.41, ""computed_no_fee"": -2640.92}, {""trade_id"": ""H_9174eedd4b89dd4c"", ""recorded"": -1306.98, ""computed_no_fee"": -1310.05}, {""trade_id"": ""H_72b34b96f72e68ab"", ""recorded"": -172.37, ""computed_no_fee"": -170.72}, {""trade_id"": ""H_e973cc545d4a2232"", ""recorded"": -425.23, ""computed_no_fee"": -426.42}, {""trade_id"": ""H_619f9d07f4f1560b"", ""recorded"": -1788.39, ""computed_no_fee"": -1778.75}, {""trade_id"": ""H_f0f00aa8b6af3b32"", ""recorded"": 1837.33, ""computed_no_fee"": 1839.24}, {""trade_id"": ""H_fe0e1c2b04df6936"", ""recorded"": -4098.01, ""computed_no_fee"": -4096.96}, {""trade_id"": ""H_37ac213101b23a45"", ""recorded"": -2459.21, ""computed_no_fee"": -2460.52}, {""trade_id"": ""H_c2d0478acf65b160"", ""recorded"": -4410.1, ""computed_no_fee"": -4411.52}, {""trade_id"": ""H_69e1e777cf0a4c9a"", ""recorded"": -1996.31, ""computed_no_fee"": -2003.18}, {""trade_id"": ""H_bfa901d6e5dcc6f0"", ""recorded"": -3824.68, ""computed_no_fee"": -3823.11}, {""trade_id"": ""H_8db1a9f870feacd3"", ""recorded"": -2887.71, ""computed_no_fee"": -2889.0}, {""trade_id"": ""H_6b79a6d5a4827733"", ""recorded"": -706.75, ""computed_no_fee"": -707.88}, {""trade_id"": ""H_9f687af23710f5a5"", ""recorded"": -4352.46, ""computed_no_fee"": -4355.4}, {""trade_id"": ""H_3c160a858b1a1201"", ""recorded"": -3946.79, ""computed_no_fee"": -3944.64}]"
sum_closed_pnl,-70325.39
state_cumulative_realized_pnl,-74666.19
state_pnl_diff,-4340.8
broker_tracker_mismatch_count_from_console,1
trade_event_parse_error_count,0
validity_status,FAIL
potential_duplicate_exit_broker_order_key_reuse_count,25
duplicate_fill_consumption_status,BLOCKED
duplicate_fill_consumption_blocked_reason,Current snapshot lacks broker fill/activity quantity ledger; repeated exit_broker_order_id can be legitimate multi-lot close. Exact duplicate consumption cannot be proven from tracker-only data.
