metric,value
population,closed_trades
n,198
run_id_count,0
run_id_pct,0.0
experiment_id_count,0
experiment_id_pct,0.0
config_hash_count,0
config_hash_pct,0.0
prompt_version_count,0
prompt_version_pct,0.0
decisions_count,2159
decision_run_id_count,0
decision_run_id_pct,0.0
decision_experiment_id_count,0
decision_experiment_id_pct,0.0
decision_config_hash_count,0
decision_config_hash_pct,0.0
decision_prompt_version_count,220
decision_prompt_version_pct,10.19
