dimension,value,n,wins,losses,gross_profit,gross_loss,net_pnl,profit_factor,win_rate,avg_win,avg_loss,expectancy,avg_return_pct,cvar_5pct_trade_pnl
asset_class,etf,35,21,14,62283.73,-47506.33,14777.4,1.3111,0.6,2965.89,-3393.31,422.21,0.0295,-5593.55
asset_class,stock,163,68,95,104626.76,-189729.55,-85102.79,0.5515,0.4172,1538.63,-1997.15,-522.1,0.0337,-8136.66
