dimension,value,n,wins,losses,gross_profit,gross_loss,net_pnl,profit_factor,win_rate,avg_win,avg_loss,expectancy,avg_return_pct,cvar_5pct_trade_pnl
exit_reason,breakeven_stop,43,9,34,14679.32,-22659.1,-7979.78,0.6478,0.2093,1631.04,-666.44,-185.58,-0.0019,-3040.1
exit_reason,broker_fill,3,1,2,138.83,-238.56,-99.73,0.582,0.3333,138.83,-119.28,-33.24,-0.0072,-233.22
exit_reason,corporate_action,2,1,1,617.13,-3643.72,-3026.59,0.1694,0.5,617.13,-3643.72,-1513.29,0.0031,-3643.72
exit_reason,stop_loss,68,13,55,18629.58,-183409.97,-164780.39,0.1016,0.1912,1433.04,-3334.73,-2423.24,-0.0326,-13953.66
exit_reason,time_based,10,7,3,24708.1,-10126.87,14581.23,2.4399,0.7,3529.73,-3375.62,1458.12,0.0498,-4352.46
exit_reason,trailing_stop,72,58,14,108137.53,-17157.66,90979.87,6.3026,0.8056,1864.44,-1225.55,1263.61,0.1158,-3163.41
