date,equity,drawdown_pct,realized_pnl,unrealized_pnl
2026-05-27,1050494.54,0.0,393.42,0.0
2026-05-27,1057869.69,0.0,1402.92,0.0
2026-05-27,1058182.98,0.0,0,0.0
2026-05-28,1034260.89,-2.2607,0,59108.83
2026-05-28,1048501.32,-0.9149,0,0.0
2026-05-28,1048891.42,-0.8781,-79.16,0.0
2026-05-29,1029016.09,-2.7563,0,53429.42
2026-05-29,1079132.66,0.0,0,0.0
2026-05-30,1081334.39,0.0,0,103893.56
2026-06-01,1081259.54,-0.0069,0,0.0
2026-06-01,1104935.52,0.0,5773.61,0.0
2026-06-01,1109342.02,0.0,23960.41,0.0
2026-06-02,1067462.22,-3.7752,0,43749.18
2026-06-02,1069665.11,-3.5766,0,68222.22
2026-06-02,1116341.36,0.0,0,0.0
2026-06-03,1092538.45,-2.1322,0,79089.66
2026-06-03,1111032.51,-0.4756,19528.59,0.0
2026-06-03,1120170.7,0.0,0,0.0
2026-06-04,1076629.35,-3.887,16479.02,0.0
2026-06-04,1082057.56,-3.4024,1304.82,0.0
2026-06-04,1084290.42,-3.2031,1304.82,69135.72
2026-06-04,1089410.74,-2.746,2086.74,113938.5
2026-06-04,1096799.86,-2.0864,104215.94,0.0
2026-06-04,1101047.76,-1.7071,77238.28,0.0
2026-06-05,1085529.68,-3.0925,0,294360.75
2026-06-07,994196.72,-11.246,0,0.0
2026-06-07,994196.72,-11.246,0,-86770.04
2026-06-07,994196.72,-11.246,0,0.0
2026-06-09,1009072.11,-9.918,-13608.99,0.0
2026-06-09,1009075.85,-9.9177,-18601.99,0.0
2026-06-09,1010960.95,-9.7494,0,0.0
2026-06-09,1015837.53,-9.314,0,-16856.53
2026-06-10,1001045.16,-10.6346,0,0.0
2026-06-10,1006989.31,-10.1039,0,106318.09
2026-06-11,983247.48,-12.2234,0,69462.49
2026-06-11,1002776.42,-10.48,0,0.0
2026-06-12,990836.39,-11.5459,0,0.0
2026-06-12,1037468.3,-7.383,0,127192.05
2026-06-13,992854.63,-11.3658,0,31648.72
2026-06-15,1065862.26,-4.8482,0,49493.63
2026-06-16,1049813.86,-6.2809,0,33445.23
2026-06-17,1057041.27,-5.6357,0,40672.64
2026-06-18,1070369.95,-4.4458,0,54001.32
2026-06-22,1022107.73,-8.7543,0,0.0
2026-06-22,1017948.33,-9.1256,-4433.31,0.0
2026-06-22,1023149.27,-8.6613,3770.07,0.0
2026-06-23,1024532.71,-8.5378,0,53516.22
2026-06-23,998631.81,-10.85,0,0.0
2026-06-23,1001494.91,-10.5944,0,0.0
2026-06-23,1000873.31,-10.6499,-51263.74,0.0
2026-06-24,1002239.6,-10.528,0,59630.55
2026-06-24,1001897.79,-10.5585,0,0.0
2026-06-24,996363.22,-11.0526,0,0.0
2026-06-24,992429.23,-11.4038,-123.42,0.0
2026-06-25,1028250.72,-8.2059,0,60150.5
2026-06-25,1022793.82,-8.693,0,0.0
2026-06-25,1008958.8,-9.9281,39990.09,0.0
2026-06-25,1013874.8,-9.4893,43872.32,0.0
2026-06-26,1014531.61,-9.4306,0,-10318.51
2026-06-26,1036065.83,-7.5082,0,0.0
2026-06-27,1039380.73,-7.2123,0,-31474.6
2026-06-29,1049784.79,-6.2835,0,0.0
2026-06-30,1077300.49,-3.8271,0,5355.14
2026-06-30,1085469.05,-3.0979,0,0.0
2026-07-01,1110659.21,-0.8491,0,38208.02
2026-07-01,1073881.54,-4.1323,0,0.0
2026-07-01,1073371.64,-4.1779,8086.04,0.0
2026-07-02,1058268.65,-5.5261,0,-21874.59
2026-07-02,1028341.32,-8.1978,0,0.0
2026-07-02,999139.74,-10.8047,-4367.52,0.0
2026-07-02,989511.82,-11.6642,-10065.27,0.0
2026-07-03,991632.39,-11.4749,0,-62952.86
2026-07-04,991268.51,-11.5074,0,-40649.51
2026-07-06,1008451.74,-9.9734,0,0.0
2026-07-07,1008830.48,-9.9396,0,-17353.48
2026-07-07,999349.8,-10.7859,0,0.0
2026-07-07,992669.2,-11.3823,0,0.0
2026-07-07,1014337.91,-9.4479,-34913.3,0.0
2026-07-08,1011592.36,-9.693,0,0.0
2026-07-08,1005330.36,-10.252,0,0.0
2026-07-08,1010534.48,-9.7875,515.31,0.0
2026-07-09,1009852.44,-9.8483,0,-10295.73
2026-07-09,1010242.08,-9.8136,0,0.0
2026-07-09,1018080.01,-9.1139,-3937.92,0.0
2026-07-09,1018649.83,-9.063,-3937.92,0.0
2026-07-10,1019812.79,-8.9592,0,3797.65
2026-07-10,1022784.29,-8.6939,0,0.0
2026-07-11,1009322.03,-9.8957,0,-6656.16
2026-07-13,1007053.48,-10.0982,0,0.0
2026-07-13,1005521.54,-10.235,-1405.04,0.0
2026-07-14,1003989.07,-10.3718,0,-4379.95
2026-07-14,1002105.95,-10.5399,0,0.0
2026-07-15,1012164.98,-9.6419,0,1405.2
2026-07-15,1018082.26,-9.1137,0,0.0
2026-07-15,1006342.19,-10.1617,0,0.0
2026-07-15,1004773.44,-10.3018,-4836.44,0.0
2026-07-16,1004867.96,-10.2933,0,1292.71
2026-07-16,1001735.72,-10.5729,0,0.0
2026-07-16,1004188.87,-10.3539,-2619.12,0.0
2026-07-16,1000843.35,-10.6526,-5055.28,0.0
2026-07-17,1000540.21,-10.6797,0,1968.52
2026-07-17,997008.85,-10.9949,0,0.0
2026-07-18,995895.16,-11.0943,0,-2213.71
2026-07-20,997417.32,-10.9585,0,0.0
2026-07-20,999672.45,-10.7571,0,0.0
2026-07-21,999126.49,-10.8059,0,-377.95
2026-07-21,998427.39,-10.8683,0,0.0
2026-07-21,996119.17,-11.0743,-2400.42,0.0
2026-07-21,995245.63,-11.1523,-2400.42,0.0
2026-07-22,994516.01,-11.2175,0,-3029.18
2026-07-22,992992.16,-11.3535,0,0.0
2026-07-22,990279.38,-11.5957,0,0.0
2026-07-22,989119.59,-11.6992,-303.66,0.0
2026-07-23,987498.85,-11.8439,0,-7639.81
2026-07-23,986866.63,-11.9003,0,0.0
