trade_id,symbol,strategy_id,side,qty,entry_price,exit_price,entry_time,exit_time,pnl,return_pct,status,peak_price,entry_signal_strength,account_id,strategy_version_id,broker_order_id,exit_broker_order_id,original_strategy_id,exit_strategy_id,exit_reason,asset_class,decision_id,run_id,experiment_id,prompt_version,config_hash,holding_days,quarantine_reason,execution_leg_id,_partial_leg_seq
H_5a40bd953748d6aa,ADBE,H_bbc8da6d76cd933c,buy,160,246.74375,,2026-07-29T10:00:04.004074+00:00,,,,open,246.74375,,H_eb1a4494419acee8,H_bbc8da6d76cd933c,,,H_bbc8da6d76cd933c,,,stock,H_2f840e1fdf12e36d,,,,,,,,
H_e41d82a1a3517f39,DDOG,H_bbc8da6d76cd933c,buy,113,265.16,,2026-07-29T10:00:04.019322+00:00,,,,open,265.16,,H_eb1a4494419acee8,H_bbc8da6d76cd933c,,,H_bbc8da6d76cd933c,,,stock,H_77062c920da838ee,,,,,,,,
H_205a77548c977564,HPE,H_bbc8da6d76cd933c,buy,611,48.59,,2026-07-29T10:00:04.030078+00:00,,,,open,48.59,,H_eb1a4494419acee8,H_bbc8da6d76cd933c,,,H_bbc8da6d76cd933c,,,stock,H_ebf2ca955c3b105f,,,,,,,,
H_9b9df13906cc8ce8,HPQ,H_bbc8da6d76cd933c,buy,412,25.248398,,2026-07-29T10:00:04.037884+00:00,,,,open,25.248398,,H_eb1a4494419acee8,H_bbc8da6d76cd933c,,,H_bbc8da6d76cd933c,,,stock,H_590e6dc6c0999438,,,,,,,,
H_bbf971357850a163,MSFT,H_bbc8da6d76cd933c,buy,107,393.740374,,2026-07-29T10:00:04.045279+00:00,,,,open,393.740374,,H_eb1a4494419acee8,H_bbc8da6d76cd933c,,,H_bbc8da6d76cd933c,,,stock,H_22102b0dc64f2654,,,,,,,,
