date,equity,cumulative_pnl,open_positions,closed_today
2026-05-27,1050494.54,,,
2026-05-27,1057869.69,,,
2026-05-27,1058182.98,,,
2026-05-28,1034260.89,,,
2026-05-28,1048501.32,,,
2026-05-28,1048891.42,,,
2026-05-29,1029016.09,,,
2026-05-29,1079132.66,,,
2026-05-30,1081334.39,,,
2026-06-01,1081259.54,,,
2026-06-01,1104935.52,,,
2026-06-01,1109342.02,,,
2026-06-02,1067462.22,,,
2026-06-02,1069665.11,,,
2026-06-02,1116341.36,,,
2026-06-03,1092538.45,,,
2026-06-03,1111032.51,,,
2026-06-03,1120170.7,,,
2026-06-04,1076629.35,,,
2026-06-04,1082057.56,,,
2026-06-04,1084290.42,,,
2026-06-04,1089410.74,,,
2026-06-04,1096799.86,,,
2026-06-04,1101047.76,,,
2026-06-05,1085529.68,,,
2026-06-07,994196.72,,,
2026-06-07,994196.72,,,
2026-06-07,994196.72,,,
2026-06-09,1009072.11,,,
2026-06-09,1009075.85,,,
2026-06-09,1010960.95,,,
2026-06-09,1015837.53,,,
2026-06-10,1001045.16,,,
2026-06-10,1006989.31,,,
2026-06-11,983247.48,,,
2026-06-11,1002776.42,,,
2026-06-12,990836.39,,,
2026-06-12,1037468.3,,,
2026-06-13,992854.63,,,
2026-06-15,1065862.26,,,
2026-06-16,1049813.86,,,
2026-06-17,1057041.27,,,
2026-06-18,1070369.95,,,
2026-06-22,1022107.73,,,
2026-06-22,1017948.33,,,
2026-06-22,1023149.27,,,
2026-06-23,1024532.71,,,
2026-06-23,998631.81,,,
2026-06-23,1001494.91,,,
2026-06-23,1000873.31,,,
2026-06-24,1002239.6,,,
2026-06-24,1001897.79,,,
2026-06-24,996363.22,,,
2026-06-24,992429.23,,,
2026-06-25,1028250.72,,,
2026-06-25,1022793.82,,,
2026-06-25,1008958.8,,,
2026-06-25,1013874.8,,,
2026-06-26,1014531.61,,,
2026-06-26,1036065.83,,,
2026-06-27,1039380.73,,,
2026-06-29,1049784.79,,,
2026-06-30,1077300.49,,,
2026-06-30,1085469.05,,,
2026-07-01,1110659.21,,,
2026-07-01,1073881.54,,,
2026-07-01,1073371.64,,,
2026-07-02,1058268.65,,,
2026-07-02,1028341.32,,,
2026-07-02,999139.74,,,
2026-07-02,989511.82,,,
2026-07-03,991632.39,,,
2026-07-04,991268.51,,,
2026-07-06,1008451.74,,,
2026-07-07,1008830.48,,,
2026-07-07,999349.8,,,
2026-07-07,992669.2,,,
2026-07-07,1014337.91,,,
2026-07-08,1011592.36,,,
2026-07-08,1005330.36,,,
2026-07-08,1010534.48,,,
2026-07-09,1009852.44,,,
2026-07-09,1010242.08,,,
2026-07-09,1018080.01,,,
2026-07-09,1018649.83,,,
2026-07-10,1019812.79,,,
2026-07-10,1022784.29,,,
2026-07-11,1009322.03,,,
2026-07-13,1007053.48,,,
2026-07-13,1005521.54,,,
2026-07-14,1003989.07,,,
2026-07-14,1002105.95,,,
2026-07-15,1012164.98,,,
2026-07-15,1018082.26,,,
2026-07-15,1006342.19,,,
2026-07-15,1004773.44,,,
2026-07-16,1004867.96,,,
2026-07-16,1001735.72,,,
2026-07-16,1004188.87,,,
2026-07-16,1000843.35,,,
2026-07-17,1000540.21,,,
2026-07-17,997008.85,,,
2026-07-18,995895.16,,,
2026-07-20,997417.32,,,
2026-07-20,999672.45,,,
2026-07-21,999126.49,,,
2026-07-21,998427.39,,,
2026-07-21,996119.17,,,
2026-07-21,995245.63,,,
2026-07-22,994516.01,,,
2026-07-22,992992.16,,,
2026-07-22,990279.38,,,
2026-07-22,989119.59,,,
2026-07-23,987498.85,,,
2026-07-23,986866.63,,,
2026-07-23,984292.57,,,
2026-07-23,983434.83,,,
2026-07-24,984060.96,,,
2026-07-24,985860.59,,,
2026-07-25,983695.46,,,
2026-07-27,985678.4,,,
2026-07-27,985682.72,,,
2026-07-27,985682.72,,,
2026-07-27,985682.72,,,
2026-07-27,986282.83,,,
2026-07-27,986832.6,,,
2026-07-27,983595.73,,,
2026-07-27,983994.49,,,
2026-07-28,983717.77,,,
2026-07-28,977818.52,,,
2026-07-29,979587.82,,,
