decision_id,symbol,timestamp,model,input_tokens,output_tokens,token_estimated,action,run_id,prompt_version,latency_ms
6d04c7ba-8132-5b4e-7599-dd269da1b04d,AMAT,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
6f9a48c1-7623-8da9-9736-077d26e4128a,AMAT,,rule_based:breakout_momentum_v1,246,20,False,buy,,,
579a4811-78dd-6305-7b9e-650bb6184d88,AMAT,,rule_based:breakout_momentum_v1,251,27,False,buy,,,
a815d6e2-73aa-b134-0ee7-5d3cf23245f6,AMAT,,rule_based:breakout_momentum_v1,251,27,False,buy,,,
d318e7f5-53a0-6c59-73a0-62dddc22c262,AMAT,,rule_based:breakout_momentum_v1,82,27,False,buy,,,
d38bacd2-2334-0a58-a282-d4ad22c50857,AMAT,,rule_based:simple_exit_v2,107,20,False,sell,,,
b4376bbc-ff4d-50cb-e09f-d763e3a258ba,AMAT,,rule_based:breakout_momentum_v1,251,27,False,buy,,,
d3652836-75cd-6c17-d301-375034201cb9,AMAT,,rule_based:breakout_momentum_v1,249,20,False,buy,,,
7bc5fbc7-f3ef-7cf8-f604-185d704264a7,AMAT,,rule_based:breakout_momentum_v1,241,20,False,buy,,,
8a3885c5-5e72-e91f-a635-539c3801c104,AMAT,,rule_based:breakout_momentum_v1,243,20,False,buy,,,
c154058a-d0fc-55aa-34b7-c363052f751a,AMAT,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
20f108b4-80fc-3b86-9ac1-22b672e28ce0,AMAT,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
4353acc2-72c8-7d87-934d-31044ea9e16e,AMAT,,rule_based:breakout_momentum_v1,81,20,False,buy,,,
06d304f8-ad4e-bc50-8729-cbd36c8a3cba,AMAT,,rule_based:simple_exit_v2,234,20,False,sell,,,
eb129079-9b53-996b-e0ef-a11fae3fb5a2,AMAT,,rule_based:simple_exit_v2,226,20,False,sell,,,
b277e281-421f-9284-7fe6-c29cdc838d05,AMAT,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
a103ebb6-ad0e-37e0-4a54-77366d2ae27f,AMAT,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
82ac9115-106d-4650-7b21-3a4e53f458e9,AMAT,,rule_based:breakout_momentum_v1,240,20,False,buy,,,
715be64a-f26f-5b6a-bf2b-bcbfb3a08708,AMAT,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
89fdd5f2-e1a3-c972-e6a5-73f1da3aaa35,AMAT,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
307c2748-5bb7-4c41-f9dc-b35c1ba03f53,AMAT,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
ce2a9852-f265-7e73-bd07-e56bcb0b13c0,AMAT,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
9de78c2e-854b-2322-e775-e6ce5ca585a0,AMAT,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
3d123747-4024-015c-5d13-24e009b42b7a,AMAT,,rule_based:breakout_momentum_v1,90,20,False,buy,,,
f835266a-0d95-8fd0-20f3-f66774c4284d,AMAT,,rule_based:breakout_momentum_v1,241,20,False,buy,,,
9d2aea2f-8928-bfe6-55a0-f20b5ffd9859,AMAT,,rule_based:breakout_momentum_v1,236,20,False,buy,,,
78a47487-c958-a5d6-0aee-e359b5bc6717,AMAT,,rule_based:breakout_momentum_v1,246,20,False,buy,,,
b8a77cde-b83f-0551-8b2f-aa2c2d2af9a5,AMAT,,rule_based:breakout_momentum_v1,298,20,False,buy,,,
65d838b7-7789-b720-55a5-e7350892f59c,AMAT,,rule_based:breakout_momentum_v1,108,20,False,buy,,,
93b5fd9a-3913-73ed-0e31-569c14282b4b,AMAT,,rule_based:breakout_momentum_v1,110,20,False,buy,,,
e9617cf9-3531-5af5-79b1-15b0096b7f24,AMAT,,rule_based:simple_exit_v2,187,20,False,sell,,,
